,payoff,Name,Description,Maturity,Currency,Amount,SolveFor,Number of Asset,Underlying1,Underlying2,Underlying3,Underlying4,Underlying5,AC Observation ,Autocall Trigger,Non Autocallable Period,Coupon ,Coupon Trigger,Coupon Observation Frequency,Downside Type,Strike Level,Lower Strike Level,KI Barrier Type,KI Barrier,Reoffer
0,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_PG UN Equity,Bloomberg_CL UN Equity,Bloomberg_KMB UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
1,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_PG UN Equity,Bloomberg_CL UN Equity,Bloomberg_KMB UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
2,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_BAC UN Equity,Bloomberg_C UN Equity,WFC UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
3,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_BAC UN Equity,Bloomberg_C UN Equity,WFC UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
4,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_GIS UN Equity,Bloomberg_K UN Equity,Bloomberg_KHC UW Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
5,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_GIS UN Equity,Bloomberg_K UN Equity,Bloomberg_KHC UW Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
6,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_SPX Index,Bloomberg_SMI Index,Bloomberg_SX5E Index,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
7,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_SPX Index,Bloomberg_SMI Index,Bloomberg_SX5E Index,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
8,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_KO UN Equity,Bloomberg_SBUX UW Equity,Bloomberg_MCD UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
9,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_KO UN Equity,Bloomberg_SBUX UW Equity,Bloomberg_MCD UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
10,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_WMT UN Equity,Bloomberg_COST UW Equity,Bloomberg_TGT UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
11,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_WMT UN Equity,Bloomberg_COST UW Equity,Bloomberg_TGT UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
12,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_TGT UN Equity,dltr,Bloomberg_DG UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
13,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_TGT UN Equity,dltr,Bloomberg_DG UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
14,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_GOOG UW Equity,Bloomberg_AAPL UW Equity,Bloomberg_MSFT UW Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
15,Autocallable Reverse Convertible Note,Basket,Description,24M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_GOOG UW Equity,Bloomberg_AAPL UW Equity,Bloomberg_MSFT UW Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
16,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_PG UN Equity,Bloomberg_CL UN Equity,Bloomberg_KMB UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
17,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_PG UN Equity,Bloomberg_CL UN Equity,Bloomberg_KMB UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
18,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_BAC UN Equity,Bloomberg_C UN Equity,WFC UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
19,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_BAC UN Equity,Bloomberg_C UN Equity,WFC UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
20,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_GIS UN Equity,Bloomberg_K UN Equity,Bloomberg_KHC UW Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
21,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_GIS UN Equity,Bloomberg_K UN Equity,Bloomberg_KHC UW Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
22,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_SPX Index,Bloomberg_SMI Index,Bloomberg_SX5E Index,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
23,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_SPX Index,Bloomberg_SMI Index,Bloomberg_SX5E Index,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
24,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_KO UN Equity,Bloomberg_SBUX UW Equity,Bloomberg_MCD UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
25,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_KO UN Equity,Bloomberg_SBUX UW Equity,Bloomberg_MCD UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
26,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_WMT UN Equity,Bloomberg_COST UW Equity,Bloomberg_TGT UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
27,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_WMT UN Equity,Bloomberg_COST UW Equity,Bloomberg_TGT UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
28,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_TGT UN Equity,dltr,Bloomberg_DG UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
29,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_TGT UN Equity,dltr,Bloomberg_DG UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
30,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_GOOG UW Equity,Bloomberg_AAPL UW Equity,Bloomberg_MSFT UW Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
31,Autocallable Reverse Convertible Note,Basket,Description,18M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_GOOG UW Equity,Bloomberg_AAPL UW Equity,Bloomberg_MSFT UW Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
32,Autocallable Reverse Convertible Note,Basket,Description,12M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_PG UN Equity,Bloomberg_CL UN Equity,Bloomberg_KMB UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
33,Autocallable Reverse Convertible Note,Basket,Description,12M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_PG UN Equity,Bloomberg_CL UN Equity,Bloomberg_KMB UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
34,Autocallable Reverse Convertible Note,Basket,Description,12M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_BAC UN Equity,Bloomberg_C UN Equity,WFC UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
35,Autocallable Reverse Convertible Note,Basket,Description,12M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_BAC UN Equity,Bloomberg_C UN Equity,WFC UN Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
36,Autocallable Reverse Convertible Note,Basket,Description,12M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_GIS UN Equity,Bloomberg_K UN Equity,Bloomberg_KHC UW Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
37,Autocallable Reverse Convertible Note,Basket,Description,12M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_GIS UN Equity,Bloomberg_K UN Equity,Bloomberg_KHC UW Equity,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
38,Autocallable Reverse Convertible Note,Basket,Description,12M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_SPX Index,Bloomberg_SMI Index,Bloomberg_SX5E Index,,,3M,100,1,,100,3M,Put with KI,100,,European,70,99.5
39,Autocallable Reverse Convertible Note,Basket,Description,12M,US Dollar (USD),500000,Coupon Per Period,3,Bloomberg_SPX Index,Bloomberg_SMI Index,Bloomberg_SX5E Index,,,3M,100,1,,100,3M,Put with KI,100,,European,60,99.5
